Date,Open,High,Low,Close,Volume
18-Nov-16,34.40,34.44,33.82,34.09,1426301
17-Nov-16,34.81,34.82,34.00,34.22,1971642
16-Nov-16,33.97,34.12,33.48,33.84,1985465
15-Nov-16,34.10,34.56,33.81,34.40,2917048
14-Nov-16,37.40,37.40,34.74,35.02,3898789
11-Nov-16,37.46,37.58,36.87,37.42,1822810
10-Nov-16,39.86,39.87,38.91,39.19,1026628
9-Nov-16,39.81,39.89,39.37,39.81,1228201
8-Nov-16,40.21,40.95,40.20,40.31,1628715
7-Nov-16,38.14,39.26,38.14,39.10,1708925
4-Nov-16,37.85,38.24,37.61,37.81,616204
3-Nov-16,37.94,38.24,37.68,37.79,914247
2-Nov-16,38.42,38.45,37.54,37.86,980701
1-Nov-16,39.35,39.65,38.81,39.06,1036586
31-Oct-16,39.56,39.56,39.12,39.41,618378
28-Oct-16,39.77,39.86,39.34,39.57,1098008
27-Oct-16,38.93,40.55,38.83,39.04,1392915
26-Oct-16,39.30,39.49,38.76,38.90,1531166
25-Oct-16,41.07,41.11,40.46,40.61,1030269
24-Oct-16,41.03,41.50,40.95,41.01,848299
21-Oct-16,40.41,40.58,40.27,40.45,751103
20-Oct-16,41.01,41.01,40.71,40.83,442981
19-Oct-16,41.04,41.41,40.97,41.32,853993
18-Oct-16,41.29,41.39,40.89,41.06,891104
17-Oct-16,40.80,41.10,40.65,40.76,506003
14-Oct-16,41.45,41.54,41.25,41.27,599175
13-Oct-16,40.60,40.60,40.10,40.49,811311
12-Oct-16,41.63,41.74,41.40,41.45,956591
11-Oct-16,41.86,42.04,41.60,41.73,868905
10-Oct-16,42.30,42.49,42.02,42.07,647952
7-Oct-16,42.37,42.53,42.00,42.18,994674
6-Oct-16,41.38,41.71,41.14,41.50,591733
5-Oct-16,41.68,42.38,41.67,42.09,1536156
4-Oct-16,41.31,41.49,40.74,40.84,717237
3-Oct-16,40.66,41.04,40.46,40.99,1191986
30-Sep-16,39.90,40.45,39.90,39.98,1196741
29-Sep-16,39.38,39.84,39.17,39.32,1159411
28-Sep-16,40.52,40.62,40.18,40.59,768036
27-Sep-16,40.07,40.23,39.82,39.98,977642
26-Sep-16,40.36,40.39,39.85,39.88,899717
23-Sep-16,41.52,41.59,40.96,41.03,656486
22-Sep-16,42.01,42.53,41.71,41.73,1067592
21-Sep-16,41.16,41.55,40.97,41.51,777743
20-Sep-16,41.15,41.32,40.79,40.99,1081895
19-Sep-16,41.59,41.98,41.45,41.53,821362
16-Sep-16,41.34,41.54,41.12,41.32,829533
15-Sep-16,41.69,42.00,41.53,41.89,820850
14-Sep-16,42.02,42.14,41.74,41.86,1207931
13-Sep-16,42.00,42.30,41.43,41.56,1053788
12-Sep-16,41.53,42.61,41.43,42.56,1764662
9-Sep-16,43.05,43.13,42.17,42.17,1935913
8-Sep-16,44.04,44.15,43.73,43.76,1411590
7-Sep-16,44.20,44.79,44.18,44.29,1548125
6-Sep-16,43.87,44.44,43.80,44.24,3401399
2-Sep-16,41.47,42.47,41.46,42.23,3019674
1-Sep-16,40.85,41.39,40.85,41.24,2059147
31-Aug-16,40.06,40.97,39.99,40.77,2951461
30-Aug-16,39.80,39.96,39.62,39.83,1604910
29-Aug-16,39.08,39.98,38.97,39.80,2143751
26-Aug-16,38.58,39.00,38.47,38.76,2222934
25-Aug-16,37.01,38.02,37.00,37.93,2017203
24-Aug-16,37.50,37.75,37.14,37.18,1138389
23-Aug-16,37.85,38.07,37.73,37.77,879968
22-Aug-16,37.87,38.02,37.71,37.95,920434
19-Aug-16,38.34,38.34,38.21,38.27,765488
18-Aug-16,38.63,38.89,38.46,38.73,833115
17-Aug-16,38.46,38.89,38.32,38.59,1391969
16-Aug-16,38.21,39.00,38.21,38.63,1547294
15-Aug-16,38.72,38.75,38.30,38.46,1223662
12-Aug-16,38.55,38.84,38.35,38.69,721226
11-Aug-16,37.79,38.31,37.72,38.18,1069396
10-Aug-16,38.08,38.15,37.67,37.75,1104376
9-Aug-16,38.63,38.96,38.63,38.85,1542184
8-Aug-16,38.86,39.24,38.70,38.99,1120797
5-Aug-16,38.52,39.02,38.51,39.00,1509469
4-Aug-16,37.47,38.34,37.41,38.13,1614030
3-Aug-16,35.55,36.94,35.44,36.91,2095099
2-Aug-16,37.02,37.23,36.61,36.76,1145442
1-Aug-16,37.88,38.38,37.82,37.99,1067778
29-Jul-16,37.43,37.83,37.22,37.83,1604934
28-Jul-16,37.61,37.61,37.30,37.50,923391
27-Jul-16,37.79,37.89,37.46,37.63,1472881
26-Jul-16,37.04,37.56,37.03,37.53,1178258
25-Jul-16,37.45,37.45,36.92,37.08,1236660
22-Jul-16,37.55,37.55,37.20,37.34,854441
